Beer Name,Ratings,Style Name,Cellar Temperature,Serving Temperature,Score
151069,2,AmericanIPA,40-45,45-50,4.18
149534,4,Gose,40-45,45-50,4.06
8585,159,IrishDryStout,40-45,45-50,3.28
102282,3,AmericanIPA,40-45,45-50,4
98417,1,AmericanIPA,40-45,45-50,3.81
11975,2,Weizenbock,40-45,45-50,3.78
24463,1,GermanPilsener,35-40,40-45,2.92
141560,0,RyeBeer,40-45,45-50,0
59288,30,Klsch,35-40,40-45,3.43
154787,6,Tripel,45-50,45-50,3.28
15275,2,BelgianStrongPaleAle,40-45,50-55,3.79
34104,1,AmericanIPA,40-45,45-50,3.94
10471,23,FruitVegetableBeer,35-40,40-45,2.93
159089,330,AmericanAdjunctLager,35-40,35-40,2.41
161657,14,Hefeweizen,40-45,45-50,3.59
122824,3,AmericanAmberRedAle,40-45,45-50,3.73
115570,63,AmericanPorter,40-45,45-50,3.45
147499,1,AmericanBlackAle,35-40,40-45,3.61
77763,0,IrishRedAle,35-40,40-45,0
71041,1,AmericanAmberRedAle,40-45,45-50,4
128046,6,AmericanPorter,40-45,45-50,4.12
132272,0,AmericanIPA,40-45,45-50,0
30902,0,IrishDryStout,40-45,45-50,0
62355,7,Hefeweizen,40-45,45-50,2.77
101649,9,Hefeweizen,40-45,45-50,3.74
131124,1,Schwarzbier,40-45,45-50,3.94
7506,2,AmericanDoubleImperialIPA,45-50,50-55,4.38
131920,1,AmericanIPA,40-45,45-50,3.75
167895,8,EuroStrongLager,35-40,40-45,2.05
58501,2,AmericanBlondeAle,35-40,40-45,3.12
135507,2,AmericanDoubleImperialStout,45-50,50-55,4.11
40765,2,AmericanBlackAle,35-40,40-45,3.8
153647,1,SaisonFarmhouseAle,45-50,45-50,3.57
165385,1,AmericanWildAle,40-45,45-50,3.5
64346,2,AmericanDoubleImperialIPA,45-50,50-55,4
37713,1,AmericanIPA,40-45,45-50,3.74
162625,1,Wheatwine,40-45,45-50,4.03
98485,2,Dubbel,45-50,45-50,3.62
2759,1,GermanPilsener,35-40,40-45,3.77
160224,11,AmericanBrownAle,40-45,45-50,3.77
138087,3,AmericanPaleAle(APA),35-40,40-45,4.01
17460,1,Altbier,40-45,45-50,3.8
122769,1,AmericanPaleLager,35-40,40-45,3.67
64692,111,AmericanPaleAle(APA),35-40,40-45,3.96
857,2,AmericanPorter,40-45,45-50,3.97
149179,9,ScottishAle,40-45,45-50,3.56
148869,1,AmericanIPA,40-45,45-50,4.2
158871,0,SaisonFarmhouseAle,45-50,45-50,0
165853,1,AmericanAmberRedAle,40-45,45-50,3.06
86627,69,AmericanIPA,40-45,45-50,4.15
134839,50,SaisonFarmhouseAle,45-50,45-50,3.83
136723,2,AmericanPorter,40-45,45-50,4.01
79627,1,AmericanIPA,40-45,45-50,3.98
140253,2,SaisonFarmhouseAle,45-50,45-50,3.24
60929,1,EnglishBitter,,45-50,3.5
19857,4,AmericanDoubleImperialPilsner,40-45,45-50,3.8
100337,3,AmericanStout,40-45,45-50,4.08
150999,5,AmericanPaleAle(APA),35-40,40-45,4.09
88256,1,ScottishAle,40-45,45-50,3.25
6739,3,AmericanAmberRedAle,40-45,45-50,2.63
52338,0,AmericanWildAle,40-45,45-50,0
80458,12,CreamAle,35-40,40-45,3.17
97338,0,ScotchAleWeeHeavy,40-45,45-50,0
60656,0,AmericanIPA,40-45,45-50,0
120110,"2,172",AmericanDoubleImperialIPA,45-50,50-55,4.22
146843,1,EnglishPorter,,50-55,3.75
161758,42,Weizenbock,40-45,45-50,3.66
5424,7,EuroPaleLager,35-40,40-45,3.25
50662,0,IrishRedAle,35-40,40-45,0
67085,0,ScotchAleWeeHeavy,40-45,45-50,0
31985,1,Wheatwine,40-45,45-50,2.5
51703,5,EuroStrongLager,35-40,40-45,2.43
22244,1,GermanPilsener,35-40,40-45,2.99
32233,1,AmericanWildAle,40-45,45-50,2.94
128946,3,EuroDarkLager,,45-50,3.01
2784,20,Gose,40-45,45-50,3.83
48873,35,MunichHellesLager,35-40,40-45,3.06
16769,0,AmericanAmberRedAle,40-45,45-50,0
15646,4,BelgianStrongPaleAle,40-45,50-55,4.31
135840,3,AmericanIPA,40-45,45-50,3.78
83101,6,Klsch,35-40,40-45,4.86
25429,1,AmericanStrongAle,45-50,50-55,4.25
32791,7,EnglishIndiaPaleAle(IPA),35-40,40-45,3.64
118733,29,AmericanIPA,40-45,45-50,3.69
102680,2,AmericanPaleAle(APA),35-40,40-45,4.24
114676,1,AmericanPaleAle(APA),35-40,40-45,3.25
87190,1,SaisonFarmhouseAle,45-50,45-50,3.5
19447,1,AmericanDoubleImperialIPA,45-50,50-55,3.87
29508,2,SaisonFarmhouseAle,45-50,45-50,3.87
137986,1,AmericanIPA,40-45,45-50,3.75
8134,1,AmericanIPA,40-45,45-50,3.99
33578,38,CzechPilsener,35-40,40-45,3.36
100894,2,EnglishPaleAle,40-45,45-50,3.65
85534,0,Tripel,45-50,45-50,0
5019,126,AmericanDoubleImperialIPA,45-50,50-55,3.66
56791,7,FruitVegetableBeer,35-40,40-45,3.39
72245,1,AmericanIPA,40-45,45-50,3.5
57222,1,BelgianPaleAle,40-45,45-50,2.83
108947,7,AmericanAmberRedAle,40-45,45-50,4.1
11575,0,AmericanIPA,40-45,45-50,0
64554,2,AmericanPaleAle(APA),35-40,40-45,4.35
28873,3,AmericanPaleLager,35-40,40-45,3.24
52559,1,AmericanPaleAle(APA),35-40,40-45,3.5
127792,9,AmericanDoubleImperialIPA,45-50,50-55,3.62
100302,72,AmericanPaleAle(APA),35-40,40-45,4.23
94857,2,Doppelbock,40-45,45-50,2.67
96281,13,AmericanIPA,40-45,45-50,3.83
65241,1,AmericanPaleAle(APA),35-40,40-45,3.5
21387,14,AmericanPaleAle(APA),35-40,40-45,3.51
32492,4,AmericanBrownAle,40-45,45-50,3.24
165666,0,AmericanPaleLager,35-40,40-45,0
4281,2,AmericanPorter,40-45,45-50,4.12
155639,2,Hefeweizen,40-45,45-50,2.88
25400,18,AmericanStout,40-45,45-50,3.58
64698,2,BelgianDarkAle,45-50,45-50,3.5
81575,6,AmericanBlondeAle,35-40,40-45,3.8
93925,0,MrzenOktoberfest,40-45,45-50,0
57098,0,AmericanPaleAle(APA),35-40,40-45,0
15484,1,BelgianIPA,35-40,40-45,3.25
155627,14,EuroStrongLager,35-40,40-45,3.01
63253,21,AmericanAmberRedAle,40-45,45-50,3.2
54034,1,ChileBeer,35-40,40-45,3.93
138888,3,AmericanIPA,40-45,45-50,3.08
16381,0,DortmunderExportLager,35-40,40-45,0
21944,9,AmericanIPA,40-45,45-50,3.77
10149,1,AmericanAmberRedAle,40-45,45-50,3.2
16447,2,BerlinerWeissbier,40-45,45-50,3.98
75490,3,Gose,40-45,45-50,4.11
57751,0,BerlinerWeissbier,40-45,45-50,0
112858,155,AmericanPaleAle(APA),35-40,40-45,3.57
17630,20,FruitVegetableBeer,35-40,40-45,3.98
60070,4,AmericanStout,40-45,45-50,3.66
10917,1,BelgianDarkAle,45-50,45-50,3.07
132485,41,AmericanIPA,40-45,45-50,4.05
34766,1,SaisonFarmhouseAle,45-50,45-50,3.84
79078,5,AmericanStout,40-45,45-50,4.05
73205,0,SaisonFarmhouseAle,45-50,45-50,0
47795,3,AmericanPaleAle(APA),35-40,40-45,3.76
127114,"1,775",RyeBeer,40-45,45-50,4.22
3080,199,AmericanIPA,40-45,45-50,3.96
3610,2,AmericanPaleAle(APA),35-40,40-45,3.66
118177,35,CzechPilsener,35-40,40-45,3.75
80012,7,AmericanWildAle,40-45,45-50,4.07
154615,38,ScotchAleWeeHeavy,40-45,45-50,4.21
113232,15,AmericanPaleLager,35-40,40-45,4.07
101671,0,FruitVegetableBeer,35-40,40-45,0
115629,0,AmericanWildAle,40-45,45-50,0
65143,1,AmericanPaleAle(APA),35-40,40-45,3.68
154668,3,Tripel,45-50,45-50,3.91
119048,0,AmericanPaleAle(APA),35-40,40-45,0
106601,7,MrzenOktoberfest,40-45,45-50,3.69
70059,1,HerbedSpicedBeer,,45-50,3.71
146413,1,Witbier,40-45,45-50,3.25
57733,0,FruitVegetableBeer,35-40,40-45,0
29790,2,RyeBeer,40-45,45-50,3.75
115296,2,ScottishAle,40-45,45-50,3.75
84466,0,SaisonFarmhouseAle,45-50,45-50,0
150278,7,AmericanDoubleImperialIPA,45-50,50-55,3.9
36448,1,HerbedSpicedBeer,,45-50,3.62
20723,7,Tripel,45-50,45-50,3.71
113144,2,AmericanStrongAle,45-50,50-55,2.93
32359,1,FruitVegetableBeer,35-40,40-45,3.5
14616,3,Tripel,45-50,45-50,3.8
78936,19,CreamAle,35-40,40-45,4
12534,1,AmericanStrongAle,45-50,50-55,3.77
59365,169,EnglishBitter,,45-50,3.44
116401,3,EnglishPorter,,50-55,3.19
90651,1,AmericanAdjunctLager,35-40,35-40,3.41
25589,32,AmericanPorter,40-45,45-50,4.03
38027,2,Braggot,,50-55,4.14
121660,7,AmericanAmberRedAle,40-45,45-50,3.69
56165,2,SaisonFarmhouseAle,45-50,45-50,3.63
144129,1,SaisonFarmhouseAle,45-50,45-50,3.74
4161,3,AmericanStrongAle,45-50,50-55,4.08
44522,23,Witbier,40-45,45-50,3.58
11369,5,AmericanBrownAle,40-45,45-50,3.91
144207,3,RyeBeer,40-45,45-50,3.82
126794,2,EnglishBrownAle,40-45,45-50,3.96
126950,0,CaliforniaCommonSteamBeer,35-40,40-45,0
57595,0,AmericanPaleAle(APA),35-40,40-45,0
52349,16,AmericanBrownAle,40-45,45-50,3.9
40931,0,EuroDarkLager,,45-50,0
112020,43,AmericanPaleAle(APA),35-40,40-45,3.65
35693,1,AmericanPorter,40-45,45-50,3.62
88752,3,AmericanIPA,40-45,45-50,2.98
108656,30,EuroPaleLager,35-40,40-45,3.74
116231,3,AmericanWildAle,40-45,45-50,3.83
89859,3,Klsch,35-40,40-45,3.57
102439,1,AmericanAmberRedAle,40-45,45-50,2.37
52022,0,FruitVegetableBeer,35-40,40-45,0
10530,0,AmericanPorter,40-45,45-50,0
87917,1,SaisonFarmhouseAle,45-50,45-50,3.5
20622,4,AmericanPorter,40-45,45-50,3.91
28542,0,AmericanBarleywine,45-50,50-55,0
48154,0,EnglishDarkMildAle,40-45,45-50,0
111963,0,GermanPilsener,35-40,40-45,0
20117,0,FruitVegetableBeer,35-40,40-45,0
140612,4,AmericanIPA,40-45,45-50,4.22
18615,8,EnglishBitter,,45-50,3.83
59378,1,AmericanWildAle,40-45,45-50,4.35
9966,1,FruitVegetableBeer,35-40,40-45,3.25
155186,3,AmericanIPA,40-45,45-50,3.87
155889,1,AmericanStrongAle,45-50,50-55,4.41
1996,1,AmericanAmberRedAle,40-45,45-50,3.5
19755,5,AmericanBlackAle,35-40,40-45,3.78
104335,2,AmericanIPA,40-45,45-50,3.97
94771,0,AmericanAmberRedAle,40-45,45-50,0
152569,0,AmericanBlondeAle,35-40,40-45,0
153365,7,Hefeweizen,40-45,45-50,3.42
83298,1,Schwarzbier,40-45,45-50,3.93
165884,6,CzechPilsener,35-40,40-45,2.95
127601,4,Lambic-Unblended,45-50,50-55,4.58
85896,87,AmericanWildAle,40-45,45-50,4.05
15262,11,GermanPilsener,35-40,40-45,2.86
113415,2,AmericanPorter,40-45,45-50,4.25
42531,15,AmericanWildAle,40-45,45-50,4.03
104494,23,AmericanPorter,40-45,45-50,3.88
125099,2,Roggenbier,40-45,45-50,3.7
140159,2,Hefeweizen,40-45,45-50,3.8
158850,1,AmericanStrongAle,45-50,50-55,4
30111,2,Hefeweizen,40-45,45-50,2.97
128052,22,ScotchAleWeeHeavy,40-45,45-50,4.07
83982,4,Klsch,35-40,40-45,3.45
104761,3,MrzenOktoberfest,40-45,45-50,3.81
113893,6,Witbier,40-45,45-50,4
94927,534,AmericanStout,40-45,45-50,3.88
64009,0,AmericanIPA,40-45,45-50,0
143040,2,AmericanBlackAle,35-40,40-45,3.88
159203,4,ViennaLager,35-40,40-45,3.24
128378,0,HerbedSpicedBeer,,45-50,0
138715,1,AmericanWildAle,40-45,45-50,3.53
53281,81,Altbier,40-45,45-50,4.09
63037,137,CreamAle,35-40,40-45,3.66
162946,291,EnglishPaleAle,40-45,45-50,3.34
15346,0,BelgianPaleAle,40-45,45-50,0
165181,14,SaisonFarmhouseAle,45-50,45-50,3.69
20844,0,AmericanBlondeAle,35-40,40-45,0
139949,0,HerbedSpicedBeer,,45-50,0
44138,0,BelgianPaleAle,40-45,45-50,0
30809,0,AmericanDoubleImperialIPA,45-50,50-55,0
20815,6,Hefeweizen,40-45,45-50,3.86
121324,85,FruitVegetableBeer,35-40,40-45,3.2
41122,0,AmericanWildAle,40-45,45-50,0
35119,22,AmericanIPA,40-45,45-50,3.9
130706,148,AmericanPaleAle(APA),35-40,40-45,3.73
6386,58,AmericanPorter,40-45,45-50,3.9
161905,1,Tripel,45-50,45-50,3.75
155211,14,EuroPaleLager,35-40,40-45,2.77
106538,0,EuroStrongLager,35-40,40-45,0
20311,1,Witbier,40-45,45-50,3.73
126659,1,AmericanDoubleImperialStout,45-50,50-55,4.25
113714,2,BelgianPaleAle,40-45,45-50,3.97
97663,5,MunichHellesLager,35-40,40-45,3.4
55348,2,HerbedSpicedBeer,,45-50,4.55
154286,0,AmericanPaleLager,35-40,40-45,0
104002,10,BelgianDarkAle,45-50,45-50,4.08
98951,26,AmericanBlondeAle,35-40,40-45,3.18
8475,2,Weizenbock,40-45,45-50,3.77
5928,12,AmericanIPA,40-45,45-50,3.77
151764,7,ScotchAleWeeHeavy,40-45,45-50,4.2
113146,1,Klsch,35-40,40-45,3.5
47744,2,MunichDunkelLager,40-45,45-50,4.28
4942,2,Happoshu,35-40,40-45,3.51
104802,0,AmericanPorter,40-45,45-50,0
93723,1,AmericanPaleAle(APA),35-40,40-45,3.73
129157,0,AmericanWildAle,40-45,45-50,0
38423,1,AmericanPorter,40-45,45-50,3.5
57409,1,AmericanIPA,40-45,45-50,3.5
138220,0,EnglishPaleAle,40-45,45-50,0
59008,25,LightLager,35-40,40-45,1.95
57869,1,AmericanPaleAle(APA),35-40,40-45,3.75
83299,1,CzechPilsener,35-40,40-45,3.11
163842,2,AmericanMaltLiquor,35-40,35-40,2.53
72060,88,AmericanPaleAle(APA),35-40,40-45,3.62
99842,1,AmericanPaleLager,35-40,40-45,3.5
7322,1,AmericanBrownAle,40-45,45-50,3.79
55759,2,AmericanPaleAle(APA),35-40,40-45,4.06
69689,2,Roggenbier,40-45,45-50,4.03
66559,5,SaisonFarmhouseAle,45-50,45-50,3.22
19567,1,AmericanIPA,40-45,45-50,3.83
128180,0,SaisonFarmhouseAle,45-50,45-50,0
103743,5,AmericanIPA,40-45,45-50,4.19
15371,1,BelgianPaleAle,40-45,45-50,3.38
75294,1,SaisonFarmhouseAle,45-50,45-50,3.81
97108,2,ScottishGruitAncientHerbedAle,40-45,45-50,3.87
58286,3,EnglishBitter,,45-50,3.27
73366,33,FruitVegetableBeer,35-40,40-45,3.33
75460,4,AmericanDoubleImperialIPA,45-50,50-55,4.22
6033,58,AmericanAdjunctLager,35-40,35-40,2.89
158272,10,AmericanPorter,40-45,45-50,3.64
57254,6,FruitVegetableBeer,35-40,40-45,3.3
47813,136,AmericanPaleLager,35-40,40-45,3.2
122672,20,AmericanDoubleImperialIPA,45-50,50-55,3.85
62843,1,SaisonFarmhouseAle,45-50,45-50,3.88
76921,5,CzechPilsener,35-40,40-45,3.64
73663,1,AmericanIPA,40-45,45-50,4.22
64421,0,EuroPaleLager,35-40,40-45,0
21318,3,AmericanBlackAle,35-40,40-45,3.6
142891,199,IrishDryStout,40-45,45-50,3.7
38311,8,AmericanStout,40-45,45-50,4.03
154793,2,AmericanStout,40-45,45-50,4.08
1875,3,AmericanIPA,40-45,45-50,3.85
155600,5,AmericanIPA,40-45,45-50,3.98
139925,1,AmericanIPA,40-45,45-50,4.22
74508,2,AmericanIPA,40-45,45-50,4.04
84948,9,SaisonFarmhouseAle,45-50,45-50,3.82
56625,5,AmericanPaleAle(APA),35-40,40-45,3.44
119228,2,SaisonFarmhouseAle,45-50,45-50,3.52
165855,16,AmericanPaleAle(APA),35-40,40-45,3.8
128277,3,SaisonFarmhouseAle,45-50,45-50,3.82
167023,0,AmericanWildAle,40-45,45-50,0
107024,2,EnglishIndiaPaleAle(IPA),35-40,40-45,4.04
12991,2,AmericanDoubleImperialStout,45-50,50-55,4.35
13882,1,AmericanDoubleImperialIPA,45-50,50-55,3.9
50265,1,EnglishDarkMildAle,40-45,45-50,3.65
117008,2,AmericanIPA,40-45,45-50,3.34
136925,10,BelgianPaleAle,40-45,45-50,3.58
50250,3,EnglishDarkMildAle,40-45,45-50,3.66
95456,0,Witbier,40-45,45-50,0
63055,1,AmericanPorter,40-45,45-50,3.63
127588,2,GermanPilsener,35-40,40-45,2.9
155797,4,AmericanDoubleImperialIPA,45-50,50-55,3.83
60156,770,SaisonFarmhouseAle,45-50,45-50,4.16
118821,28,PumpkinAle,40-45,45-50,4.11
107358,3,Kvass,,,3.45
20524,2,AmericanPaleLager,35-40,40-45,3.76
151082,6,AmericanPorter,40-45,45-50,4.1
127058,1,AmericanBarleywine,45-50,50-55,3.99
46538,7,Dunkelweizen,40-45,45-50,4.1
147740,0,MrzenOktoberfest,40-45,45-50,0
54925,1,BiredeGarde,45-50,45-50,3.84
80403,1,ViennaLager,35-40,40-45,4.25
109303,4,Schwarzbier,40-45,45-50,4.11
158777,8,AmericanIPA,40-45,45-50,4.03
85179,20,AmericanPaleAle(APA),35-40,40-45,2.06
87128,3,AmericanDoubleImperialPilsner,40-45,45-50,3.73
2010,14,AmericanPaleAle(APA),35-40,40-45,4.18
90280,1,AmericanPaleAle(APA),35-40,40-45,3.57
1499,1,AmericanDoubleImperialStout,45-50,50-55,3.77
120400,1,CreamAle,35-40,40-45,3.81
12104,1,EnglishBrownAle,40-45,45-50,4.19
54112,2,AmericanIPA,40-45,45-50,4
149799,0,AmericanDoubleImperialIPA,45-50,50-55,0
115503,16,AmericanDoubleImperialStout,45-50,50-55,3.83
51172,611,BerlinerWeissbier,40-45,45-50,4.25
145347,3,AmericanPaleAle(APA),35-40,40-45,3.37
52046,761,AmericanWildAle,40-45,45-50,4.28
161547,"2,721",Doppelbock,40-45,45-50,4.2
45587,1,AmericanDoubleImperialIPA,45-50,50-55,3.78
130748,101,AmericanBrownAle,40-45,45-50,3.46
6562,5,BelgianPaleAle,40-45,45-50,3.97
6811,1,AmericanAmberRedAle,40-45,45-50,3.78
4302,0,AmericanBrownAle,40-45,45-50,0
77630,5,AmericanPorter,40-45,45-50,4.17
54118,33,AmericanIPA,40-45,45-50,3.68
128105,1,AmericanIPA,40-45,45-50,3.04
42043,2,Quadrupel(Quad),45-50,50-55,3.93
21168,4,AmericanIPA,40-45,45-50,3.8
87369,2,SaisonFarmhouseAle,45-50,45-50,3.92
35359,3,AmericanPorter,40-45,45-50,3.95
18797,1,EnglishBitter,,45-50,3.92
31357,1,AmericanPorter,40-45,45-50,3.75
126994,3,RyeBeer,40-45,45-50,4.3
90433,5,AmericanPaleLager,35-40,40-45,3.65
96456,13,AmericanDoubleImperialStout,45-50,50-55,4.54
106580,1,MrzenOktoberfest,40-45,45-50,3.38
31819,3,SaisonFarmhouseAle,45-50,45-50,3.38
73888,72,AmericanAmberRedAle,40-45,45-50,3.95
35502,4,AmericanPorter,40-45,45-50,4.47
113314,21,FruitVegetableBeer,35-40,40-45,3.91
162014,4,AmericanStout,40-45,45-50,3.87
164809,"1,990",AmericanIPA,40-45,45-50,4.04
101838,0,LowAlcoholBeer,35-40,40-45,0
114141,6,CzechPilsener,35-40,40-45,3.17
18169,55,Tripel,45-50,45-50,3.94
147238,2,EnglishBitter,,45-50,3.41
158833,3,EnglishPaleAle,40-45,45-50,3.88
24955,30,SaisonFarmhouseAle,45-50,45-50,4.06
17722,1,AmericanDoubleImperialIPA,45-50,50-55,4.08
58384,18,AmericanStrongAle,45-50,50-55,3.75
105703,14,AmericanBrownAle,40-45,45-50,3.06
105708,151,MrzenOktoberfest,40-45,45-50,3.87
27054,252,AmericanAmberRedAle,40-45,45-50,3.96
148712,7,FruitVegetableBeer,35-40,40-45,3.91
80495,226,LowAlcoholBeer,35-40,40-45,2.49
38520,1,AmericanPorter,40-45,45-50,4.18
38270,1,LightLager,35-40,40-45,3.75
16585,2,AmericanWildAle,40-45,45-50,4.24
86144,63,Hefeweizen,40-45,45-50,3.67
68486,68,AmericanPorter,40-45,45-50,4.04
55219,1,AmericanIPA,40-45,45-50,4.09
111830,29,CzechPilsener,35-40,40-45,3.6
131479,9,AmericanIPA,40-45,45-50,3.92
25397,35,MaibockHellesBock,40-45,45-50,3.83
127016,0,SaisonFarmhouseAle,45-50,45-50,0
125687,1,Altbier,40-45,45-50,3.49
168347,78,FruitVegetableBeer,35-40,40-45,3.78
68356,1,AmericanIPA,40-45,45-50,3.17
124731,0,AmericanPorter,40-45,45-50,0
52331,0,AmericanPorter,40-45,45-50,0
11107,1,AmericanDoubleImperialStout,45-50,50-55,2.97
193,1,AmericanPaleAle(APA),35-40,40-45,3.74
158470,1,EuroDarkLager,,45-50,3.53
83263,17,BiredeGarde,45-50,45-50,3.86
139290,3,AmericanIPA,40-45,45-50,4.59
104407,5,AmericanPaleAle(APA),35-40,40-45,3.94
165215,12,ScotchAleWeeHeavy,40-45,45-50,3.66
77171,2,MunichDunkelLager,40-45,45-50,2.91
57132,12,AmericanDoubleImperialIPA,45-50,50-55,4.4
116528,1,EnglishPorter,,50-55,3.75
152263,7,AmericanPaleAle(APA),35-40,40-45,3.74
18724,2,AmericanPaleLager,35-40,40-45,2.52
86335,76,AmericanPaleAle(APA),35-40,40-45,3.14
86003,5,EuroPaleLager,35-40,40-45,2.94
57998,0,AmericanDoubleImperialIPA,45-50,50-55,0
108094,1,AmericanBlackAle,35-40,40-45,3.48
53453,0,MunichDunkelLager,40-45,45-50,0
36415,6,AmericanAmberRedAle,40-45,45-50,3.62
161237,3,AmericanIPA,40-45,45-50,3.52
157038,1,AmericanPaleAle(APA),35-40,40-45,4.39
41911,2,EnglishDarkMildAle,40-45,45-50,3.75
19423,1,AmericanStout,40-45,45-50,3.58
87890,1,AmericanIPA,40-45,45-50,3.75
57828,23,MunichHellesLager,35-40,40-45,3.58
98786,1,EnglishDarkMildAle,40-45,45-50,3.94
37836,2,AmericanDoubleImperialStout,45-50,50-55,4.01
137902,0,Schwarzbier,40-45,45-50,0
162781,10,IrishDryStout,40-45,45-50,3.88
21340,1,FruitVegetableBeer,35-40,40-45,3.52
69292,0,AmericanPaleLager,35-40,40-45,0
66476,73,AmericanPorter,40-45,45-50,4.13
160752,5,AmericanBrownAle,40-45,45-50,3.57
40447,79,AmericanStrongAle,45-50,50-55,3.71
51017,0,MunichHellesLager,35-40,40-45,0
132566,1,AmericanIPA,40-45,45-50,4.15
47248,1,Dubbel,45-50,45-50,3.84
103786,1,SaisonFarmhouseAle,45-50,45-50,3.99
117309,2,SaisonFarmhouseAle,45-50,45-50,3.59
34055,0,AmericanIPA,40-45,45-50,0
99693,26,AmericanPaleAle(APA),35-40,40-45,3.52
10070,0,CzechPilsener,35-40,40-45,0
90512,2,AmericanPaleAle(APA),35-40,40-45,4.02
57891,0,AmericanBrownAle,40-45,45-50,0
35724,10,AmericanIPA,40-45,45-50,4.14
77137,0,IrishDryStout,40-45,45-50,0
101608,6,SaisonFarmhouseAle,45-50,45-50,3.24
29969,2,MunichDunkelLager,40-45,45-50,2.88
141874,87,AmericanMaltLiquor,35-40,35-40,2.49
144262,135,AmericanBlondeAle,35-40,40-45,3.38
21622,2,FruitVegetableBeer,35-40,40-45,3.62
6804,2,AmericanStout,40-45,45-50,3.88
146845,4,AmericanIPA,40-45,45-50,4.16
25067,1,AmericanAmberRedAle,40-45,45-50,4.1
81785,0,FruitVegetableBeer,35-40,40-45,0
74139,46,AmericanPorter,40-45,45-50,4.32
19425,1,AmericanBlackAle,35-40,40-45,3.74
154640,3,Tripel,45-50,45-50,3.9
142664,6,AmericanBrownAle,40-45,45-50,3.62
35040,5,AmericanIPA,40-45,45-50,2.47
125685,2,AmericanIPA,40-45,45-50,4
74539,0,AmericanIPA,40-45,45-50,0
110372,1,AmericanPaleAle(APA),35-40,40-45,2.3
19705,29,AmericanPorter,40-45,45-50,3.77
37477,10,AmericanDoubleImperialIPA,45-50,50-55,3.99
50690,1,AmericanIPA,40-45,45-50,4.25
73684,5,AmericanIPA,40-45,45-50,4.28
112656,2,AmericanPaleLager,35-40,40-45,3.4
27675,3,ChileBeer,35-40,40-45,3.56
35169,5,AmericanPorter,40-45,45-50,3.83
10840,1,AmericanBlondeAle,35-40,40-45,3.75
39925,2,AmericanDoubleImperialIPA,45-50,50-55,4.28
66241,3,EnglishBitter,,45-50,3.51
71674,1,BelgianIPA,35-40,40-45,3.85
100572,3,MunichHellesLager,35-40,40-45,3.79
42449,2,BelgianStrongPaleAle,40-45,50-55,4.09
106020,0,AmericanIPA,40-45,45-50,0
146866,1,SaisonFarmhouseAle,45-50,45-50,3.42
20110,14,AmericanWildAle,40-45,45-50,3.88
91074,3,SaisonFarmhouseAle,45-50,45-50,3.91
44804,0,Doppelbock,40-45,45-50,0
168211,14,MunichDunkelLager,40-45,45-50,3.42
23560,1,AmericanStrongAle,45-50,50-55,4.06
128897,0,SaisonFarmhouseAle,45-50,45-50,0
139655,16,AmericanPorter,40-45,45-50,4.01
27344,1,AmericanDoubleImperialIPA,45-50,50-55,4.01
6329,1,BelgianStrongDarkAle,45-50,45-50,3.78
108684,8,AmericanDoubleImperialIPA,45-50,50-55,2.86
96791,12,AmericanIPA,40-45,45-50,4.02
65772,3,AmericanIPA,40-45,45-50,3.92
164565,113,AmericanPorter,40-45,45-50,3.4
132183,4,BelgianStrongDarkAle,45-50,45-50,3.42
136374,2,AmericanPorter,40-45,45-50,3.68
88341,1,AmericanAmberRedAle,40-45,45-50,2
67689,1,MaibockHellesBock,40-45,45-50,4.06
14872,1,EnglishBrownAle,40-45,45-50,4
60567,26,AmericanPorter,40-45,45-50,3.83
144162,1,Klsch,35-40,40-45,3.09
92874,1,AmericanPorter,40-45,45-50,4.06
51539,1,EnglishBitter,,45-50,3.5
97886,1,EuroStrongLager,35-40,40-45,3.02
46691,5,AmericanBrownAle,40-45,45-50,4.26
159883,3,EnglishDarkMildAle,40-45,45-50,3.54
79150,99,AmericanDoubleImperialIPA,45-50,50-55,4.37
130035,0,HerbedSpicedBeer,,45-50,0
13835,1,BelgianStrongPaleAle,40-45,50-55,3.54
127807,9,AmericanAmberRedAle,40-45,45-50,3.44
86421,9,AmericanDoubleImperialIPA,45-50,50-55,4.11
104628,1,AmericanDoubleImperialIPA,45-50,50-55,3.79
50860,1,EnglishPaleAle,40-45,45-50,3.85
115559,52,SaisonFarmhouseAle,45-50,45-50,3.72
66546,15,Hefeweizen,40-45,45-50,3.48
60535,4,EnglishPaleAle,40-45,45-50,3
83315,1,AmericanStout,40-45,45-50,4.02
128339,4,SaisonFarmhouseAle,45-50,45-50,4.06
1393,2,AmericanDoubleImperialStout,45-50,50-55,3.24
80554,2,AmericanDoubleImperialIPA,45-50,50-55,3.77
38394,0,EuroPaleLager,35-40,40-45,0
1462,3,AmericanIPA,40-45,45-50,3.9
32683,4,AmericanIPA,40-45,45-50,3.64
106601,1,MrzenOktoberfest,40-45,45-50,4.02
108305,4,AmericanWildAle,40-45,45-50,4.44
150990,1,AmericanPorter,40-45,45-50,4
106614,2,MrzenOktoberfest,40-45,45-50,3.72
126936,2,AmericanIPA,40-45,45-50,3.92
63671,8,ScottishGruitAncientHerbedAle,40-45,45-50,3.83
41921,1,EnglishBitter,,45-50,3.84
133081,1,AmericanPaleAle(APA),35-40,40-45,3.99
